Population	Sample_no	Sample_id	Prediction	Lat	Lon
German	1	GRC11074516	Dane_1	55.81927352513092	10.30626966282673
German	2	GRC11074527	Dane_1	56.52296035095375	11.248744252707874
German	3	GRC11074513	Dane_1	55.993924618479305	10.004170248565838
German	4	GRC11074518	Dane_1	55.99568058251237	10.000718481548114
German	5	GRC11074514	Dane_1	55.79718997138904	10.153643065787216
German	6	GRC11074515	Bulgaria_3	42.723229060601916	22.73786980584824
German	7	GRC11074517	Bulgaria_3	42.76473149056172	22.630930904012917
German	8	GRC11074519	Dane_1	55.98767505127723	10.006907572562842
German	9	GRC11074520	Bulgaria_3	42.423953679244185	23.1742221250145
German	10	GRC11074521	Bulgaria_3	43.20159073082845	21.495448209563584
German	11	GRC11074522	Dane_1	55.91448818391512	10.056668792874085
German	12	GRC11074523	Dane_1	55.98235499177604	9.986541413289961
German	13	GRC11074524	Bulgaria_3	42.48166552951962	23.1089843999266
German	14	GRC11074526	Bulgaria_3	43.02168072452423	22.19431618053451
German	15	GRC11074525	Romania_1	[43.77255517]	[22.86227098]
Gond_Ori	1	GRC12081944	Binjhal_0	22.57066079008877	88.3360376164997
Gond_Ori	2	GRC12081951	Binjhal_0	22.563865221694606	85.81095581532816
Gond_Ori	3	GRC12081958	Gond_Ori_0	22.436214974640283	72.50986721120219
Greek	1	GRC11074503	Bulgaria_1	41.85264714436935	22.69015498308156
Greek	2	GRC11074505	Bulgaria_1	41.16710634293574	23.183898826871637
Greek	3	GRC11074506	Bulgaria_1	42.2762760919444	23.122203762853246
Greek	4	GRC11074512	Bulgaria_1	41.56707152346279	22.876677725228667
Greek	5	GRC11074499	Bulgaria_1	42.22007430750489	23.090254212462515
Greek	6	GRC11074504	Bulgaria_1	41.44550219188012	23.170018928861918
Greek	7	GRC11074498	Bulgaria_1	42.050520115850965	23.117606234011138
Greek	8	GRC11074500	Bulgaria_1	41.2623045454129	23.02061441483061
Greek	9	GRC11074510	Bulgaria_1	42.01310388621116	23.065655647272663
Greek	10	GRC11074501	Bulgaria_1	41.886351829816206	23.140427555551604
Greek	11	GRC11074502	Bulgaria_1	39.94458219870789	23.156807021772234
Greek	12	GRC11074507	Bulgaria_1	[40.21306046]	[23.11218532]
Greek	13	GRC11074508	Bulgaria_1	41.67848591412836	22.95293343355689
Greek	14	GRC11074509	Bulgaria_1	42.25956135147378	23.145226039345978
Greek	15	GRC11074511	Greek_4	[38.30353828]	[22.8150273]
Guanajuato_Mexico	1	GRC12084590	AYMARA_URO_0	-7.284595436383446	-76.54581565626057
Guanajuato_Mexico	2	GRC12084591	Guanajuato_Mexico_0	20.867609898541225	-100.88522169751054
Guanajuato_Mexico	3	GRC12084592	Guanajuato_Mexico_0	[18.42966293]	[-99.14190662]
Gujarati	1	GRC12076453	Gaddi_Rajput_0	31.749741560771	75.7737281180688
Gujarati	2	GRC12076459	Gaddi_Rajput_0	31.29043154022543	75.61816595565624
Gujarati	3	GRC12076461	Gaddi_Rajput_0	32.266725229075575	75.98712252013092
Gujarati	4	GRC12076451	Gaddi_Rajput_0	32.070226883313055	75.95726243929836
Gujarati	5	GRC12076452	Gaddi_Rajput_0	32.4219334044718	76.07425837077632
Gujarati	6	GRC12076454	Gaddi_Rajput_0	31.749448781001885	75.83688026072043
Gujarati	7	GRC12076457	Gaddi_Rajput_0	30.924280894078606	75.51700017550091
Gujarati	8	GRC12076456	Gaddi_Rajput_0	31.58383165190888	75.97300698982362
Gujarati	9	GRC12076458	Gaddi_Rajput_0	31.685654364024057	75.99749144062132
Gujarati	10	GRC12076460	Gaddi_Rajput_0	30.85951108078283	75.55076604477534
Gujarati	11	GRC12076462	Gaddi_Rajput_0	31.312839956045796	75.75925001743236
Gujarati	12	GRC12076455	Gujarati_1	27.05936077341462	73.22616792736822
Halba	1	GRC12081946	Binjhal_0	22.567068355107114	88.34857815621207
Halba	2	GRC12081953	Halba_0	34.43554033665407	36.26094754043892
Hereroland_Namibia	1	GRC12084543	Andriesvale_Northern_Cape_RSA_0	[-23.26460445]	[12.9192207]
Hereroland_Namibia	2	GRC12084539	Hereroland_Namibia_2	-21.092519606276817	19.800486318461186
Hereroland_Namibia	3	GRC12084540	Bermudian_4	32.2999999673581	-64.78333294612159
Hereroland_Namibia	4	GRC12084541	Hereroland_Namibia_2	-21.000044938741663	19.503037063145005
Hereroland_Namibia	5	GRC12084542	Hereroland_Namibia_2	-20.99861714922633	19.500756331482197
Hidalgo_Mexico	1	GRC12084596	AYMARA_URO_0	-11.849444797816666	-72.67056591078253
Hidalgo_Mexico	2	GRC12087863	AYMARA_URO_0	-12.172517012863336	-72.50282691673094
Hidalgo_Mexico	3	GRC12084593	Guanajuato_Mexico_0	20.941676560055317	-101.02552309156971
Hidalgo_Mexico	4	GRC12084595	Guanajuato_Mexico_0	20.961282569526116	-101.08591842814519
Hidalgo_Mexico	5	GRC12084597	AYMARA_URO_0	-12.721559954347253	-71.94993116204411
Hidalgo_Mexico	6	GRC12084598	AYMARA_URO_0	-12.170736300762098	-72.44876717196526
Hidalgo_Mexico	7	GRC12087864	AYMARA_URO_0	-13.10853721881287	-71.64480257245484
Hidalgo_Mexico	8	GRC12084594	Peru_3	[-8.20693112]	[-79.6461303]
Iberian	1	GRC11075038	Bulgaria_3	42.05200693346653	22.87479662250722
Iberian	2	GRC11075041	Bulgaria_3	42.041305496241705	22.178152249862343
Iberian	3	GRC11075042	Bulgaria_3	42.33595830571686	23.085535788885064
Iberian	4	GRC11075045	Bulgaria_3	42.27261283912436	23.008662959897112
Iberian	5	GRC11075046	Bulgaria_3	42.42257506881881	23.162713104846468
Iberian	6	GRC11075047	Bulgaria_3	42.412922395285364	23.17736978376969
Iberian	7	GRC11075048	Bulgaria_3	43.53462577817169	20.091881526931918
Iberian	8	GRC11075037	Bulgaria_1	41.40360021636364	22.30839000806542
Iberian	9	GRC11075039	Bulgaria_3	42.3515545507549	23.008789832993582
Iberian	10	GRC11075040	Bulgaria_4	41.63961947029289	22.106767718591712
Iberian	11	GRC11075043	Bulgaria_3	42.39109677442157	23.1303457256997
Iberian	12	GRC11075044	Iberian_4	40.28937706428854	-3.222863180166373
Ingush	1	GRC12076289	Abkhazians_0	43.24879401537776	42.701928648910155
Ingush	2	GRC12076313	Abkhazians_0	[43.11088637]	[39.98484892]
Ingush	3	GRC12076301	Abkhazians_0	[43.13656729]	[39.73419809]
Ingush	4	GRC12076325	Ingush_3	43.21766978029086	44.81300382283322
Iran	1	GRC12076333	Abkhazians_0	43.22098906464947	45.78240749700974
Iran	2	GRC12076337	Abkhazians_0	43.06838404019382	45.97435984340528
Iran	3	GRC12076339	Abkhazians_0	43.28848158868497	45.79103178766923
Iran	4	GRC12076350	Abkhazians_0	39.503004251167425	47.96155616520516
Iran	5	GRC12076334	Abkhazians_0	42.86397314620508	45.844098250305784
Iran	6	GRC12076335	Abkhazians_0	42.94661425657906	45.80581380220996
Iran	7	GRC12076340	Abkhazians_0	42.8089561710342	45.85917770597316
Iran	8	GRC12076349	Abkhazians_0	43.31230717499742	45.742613533909136
Iran	9	GRC12076351	Abkhazians_0	41.18746320760758	46.145459011719076
Iran	10	GRC12076352	Abkhazians_0	42.95959151566994	45.81850622016841
Iran	11	GRC12076384	Abkhazians_0	41.69951734979122	45.853530844848734
Iran	12	GRC12076397	Abkhazians_0	42.954875391407754	45.82510065787976
Iran	13	GRC12076332	Abkhazians_0	43.374323369844234	45.743812573901465
Iran	14	GRC12076336	Chechens_2	43.18721041150615	46.15727534346134
Iran	15	GRC12076338	Abkhazians_0	43.343331668797425	45.80677282041184
Iran	16	GRC12076396	Iran_4	32.446759932303095	53.70568662379797
Italian	1	GRC11075109	Bulgaria_1	41.989149480101084	23.125936412332244
Italian	2	GRC11075112	Bulgaria_1	40.79972261299839	22.901070728278142
Italian	3	GRC11075114	Bulgaria_1	42.35051690933943	23.160617628089806
Italian	4	GRC11075117	Bulgaria_1	41.787388653324705	22.99614510791748
Italian	5	GRC11075120	Bulgaria_1	41.24590352246963	22.667434917507475
Italian	6	GRC11075113	Bulgaria_1	42.28303725770415	23.17737617845495
Italian	7	GRC11075115	Bulgaria_1	42.082212047886344	23.191896040975
Italian	8	GRC11075110	Bulgaria_1	40.95078011107312	23.14801842484944
Italian	9	GRC11075111	Bulgaria_1	41.39183361472514	22.957092252642116
Italian	10	GRC11075116	Bulgaria_1	40.28150518005327	23.158198666675837
Italian	11	GRC11075118	Bulgaria_1	42.24128037725133	23.16842768724568
Italian	12	GRC12083640	Bulgaria_1	40.923769738025044	23.19198072762538
Italian	13	GRC12083641	Bulgaria_1	40.865766081705466	23.133618993875658
Italian	14	GRC11075119	Bulgaria_1	42.40893026424335	23.189813103538786
Italian	15	GRC12083639	Italian_4	41.869635784526345	12.561071511215028
Iyengar_Kar	1	GRC12081970	Gaddi_Rajput_0	32.429841921566585	76.07946982500276
Iyengar_Kar	2	GRC12081997	Iyengar_Kar_0	13.448636245474658	80.09946312668589
Japan	1	GRC11075073	Chinese_1	39.549936075887544	116.20089537050417
Japan	2	GRC11075074	Chinese_1	39.54910581866967	116.2125288366276
Japan	3	GRC11075075	Chinese_1	39.54887544417465	116.21576485197126
Japan	4	GRC11075077	Chinese_1	39.54820190794165	116.22521319622408
Japan	5	GRC11075081	Chinese_1	39.549553345550734	116.20625804210684
Japan	6	GRC11075082	Chinese_1	39.5499910671696	116.20012528572917
Japan	7	GRC11075076	Chinese_1	39.54995708393869	116.20060558420248
Japan	8	GRC11075079	Chinese_1	39.54993702627259	116.20088939300264
Japan	9	GRC11075080	Chinese_1	39.54982284488368	116.20248931982401
Japan	10	GRC11075083	Chinese_1	39.51738041230867	116.65784952561837
Japan	11	GRC11075078	Chinese_1	39.54983596465218	116.20235153504291
Japan	12	GRC11075084	Japan_4	38.001835231996175	137.97423674563984
Johannesburg_Gauteng_RSA	1	GRC12084519	Bermudian_4	29.790466360924878	-60.79325666108173
Johannesburg_Gauteng_RSA	2	GRC12084520	Hereroland_Namibia_2	[-21.45403469]	[21.38848237]
Kaokoveld_Namibia	1	GRC12084510	Hereroland_Namibia_2	-21.064995530970553	19.689282609135308
Kaokoveld_Namibia	2	GRC12084512	Hereroland_Namibia_2	[-21.66178601]	[20.83896008]
Kaokoveld_Namibia	3	GRC12084509	Hereroland_Namibia_2	-21.000001115464585	19.50004765879644
Kaokoveld_Namibia	4	GRC12084511	Hereroland_Namibia_2	-21.000002371967973	19.50159679002593
Kaokoveld_Namibia	5	GRC12084513	Kaokoveld_Namibia_3	-19.399402892052002	13.910770843513587
Kapu	1	GRC12081937	Gujarati_1	26.642583721641397	73.30542636931656
Kapu	2	GRC12081983	Kapu_0	16.536921428683918	78.36578571753876
Kenya	1	GRC11075086	Hereroland_Namibia_2	-21.396160339406833	20.3496660723968
Kenya	2	GRC11075088	Hereroland_Namibia_2	-20.188451361552207	20.735388946671783
Kenya	3	GRC11075091	Hereroland_Namibia_2	-21.674796370356987	20.726397755415565
Kenya	4	GRC11075092	Hereroland_Namibia_2	-20.985920408546978	19.748378844283934
Kenya	5	GRC11075095	Hereroland_Namibia_2	-21.074290864975634	19.734613705492972
Kenya	6	GRC11075087	Hereroland_Namibia_2	-21.117940534321583	19.73718884367135
Kenya	7	GRC11075089	Hereroland_Namibia_2	-21.285124643645467	20.041557564287444
Kenya	8	GRC11075093	Hereroland_Namibia_2	-21.087350942149364	19.78026366143726
Kenya	9	GRC11075094	Hereroland_Namibia_2	-21.969479318974305	21.562208372841745
Kenya	10	GRC11075096	Hereroland_Namibia_2	-21.067838839666763	19.708174669128358
Kenya	11	GRC11075090	Hereroland_Namibia_2	-20.501210315473262	21.033078490386355
Kenya	12	GRC11075085	Kenya_2	[-1.76877587]	[35.92051937]
Kroonstad_Free_State_RSA	1	GRC12084534	Hereroland_Namibia_2	-20.971640088659964	19.541163079123393
Kroonstad_Free_State_RSA	2	GRC12084532	Andilambe_Madagascar_0	-10.833230716574299	35.70980306179388
Kroonstad_Free_State_RSA	3	GRC12084531	Andilambe_Madagascar_0	-15.489481011941894	47.260451295719164
Kroonstad_Free_State_RSA	4	GRC12084533	Bermudian_4	32.213186257748944	-64.64165615173054
Kroonstad_Free_State_RSA	5	GRC12084535	Kroonstad_Free_State_RSA_3	-26.999243689139675	26.99903238889612
Kuwait	1	GRC12076376	Egypt_2	27.363222517992494	31.06172421094069
Kuwait	2	GRC12076378	Egypt_2	29.4870877950609	33.881001962219536
Kuwait	3	GRC12076379	Egypt_2	26.92819878133275	30.964880647610535
Kuwait	4	GRC12076375	Bulgaria_3	42.296577956605745	22.963483089742518
Kuwait	5	GRC12076341	Abkhazians_0	35.619363624777236	39.658782552898145
Kuwait	6	GRC12076342	Abkhazians_0	42.11856484943369	45.20526134583531
Kuwait	7	GRC12076363	Abkhazians_0	37.16184196998452	41.122002359443556
Kuwait	8	GRC12076374	Egypt_2	28.865157530352175	34.08233589163056
Kuwait	9	GRC12076377	Abkhazians_0	42.59716599889605	45.83076285237058
Kuwait	10	GRC12076380	Abkhazians_0	42.31014051814987	45.92381197779962
Kuwait	11	GRC12076392	Abkhazians_0	[34.20495889]	[38.20236332]
Kuwait	12	GRC12076394	Abkhazians_0	43.05378220973453	45.77031386007445
Kuwait	13	GRC12076398	Abkhazians_0	40.53987265042518	44.5741303494347
Kuwait	14	GRC12076354	Egypt_2	27.01298983420902	31.120047598975667
Kuwait	15	GRC12076355	Abkhazians_0	39.7667123494931	44.752891197905285
Kuwait	16	GRC12076364	Egypt_2	28.570636464606846	31.63280943811301
Kuwait	17	GRC12076371	Abkhazians_0	40.90675302949364	45.001911206590506
Kuwait	18	GRC12076388	Egypt_2	[30.29089982]	[25.77741129]
Lebanon	1	GRC12076368	Abkhazians_0	42.75207233912484	45.17628067243089
Lebanon	2	GRC12076372	Abkhazians_0	38.64667340874218	41.547963720472374
Lebanon	3	GRC12076382	Abkhazians_0	42.62255041824274	45.055798823050544
Lebanon	4	GRC12076385	Egypt_2	27.499633577479088	31.848947842780753
Lebanon	5	GRC12076387	Abkhazians_0	42.5734795840867	45.01159961939212
Lebanon	6	GRC12076391	Abkhazians_0	43.17066548089854	45.5181464977806
Lebanon	7	GRC12076362	Abkhazians_0	42.06798696434957	44.587776842839816
Lebanon	8	GRC12076365	Egypt_2	26.917021284056535	30.913271178424594
Lebanon	9	GRC12076367	Egypt_2	26.84347509688028	30.82736170126376
Lebanon	10	GRC12076369	Egypt_2	26.82355564254079	30.804221320307573
Lebanon	11	GRC12076373	Egypt_2	26.90345836216552	30.900035340170984
Lebanon	12	GRC12076383	Egypt_2	27.036641382427838	31.068614918576742
Lebanon	13	GRC12076386	Egypt_2	27.09008850504008	31.127967286467893
Lebanon	14	GRC12076389	Egypt_2	26.875139069078752	30.86514267342419
Lebanon	15	GRC12076390	Egypt_2	26.820801031926294	30.800958461054073
Lebanon	16	GRC12076393	Egypt_2	27.10217769614787	31.16795746459187
Lebanon	17	GRC12076395	Egypt_2	26.988615128568526	31.014077512535277
Lebanon	18	GRC12076357	Abkhazians_0	41.136146422026144	43.74476904292987
Lebanon	19	GRC12076358	Abkhazians_0	43.115830104797645	45.61884178326661
Lebanon	20	GRC12076359	Abkhazians_0	43.34874521929163	45.72505275033492
Lebanon	21	GRC12076360	Abkhazians_0	43.28788107241087	45.61666847202027
Lebanon	22	GRC12076361	Egypt_3	27.449350891941414	30.52624873287299
Mahajanga_Madagascar	1	GRC12084557	Ambilobe_Madagascar_3	-14.272679932863523	40.61249892787517
Majhbi	1	GRC12081949	Gaddi_Rajput_0	32.476079126746704	76.09614256460229
Majhbi	2	GRC12081994	Majhbi_0	31.530443625967038	74.34826746928854
Manakara_Madagascar	1	GRC12084550	Ambilobe_Madagascar_3	-13.242657681707307	49.09766008219896
Manakara_Madagascar	2	GRC12084547	Ambilobe_Madagascar_3	-13.147561887305374	49.183207440754245
Manakara_Madagascar	3	GRC12084548	Ambilobe_Madagascar_3	-13.139461663947667	49.17278730032035
Manakara_Madagascar	4	GRC12084549	Toliara_Madagascar_2	[-21.40128766]	[44.91945137]
Meitei	1	GRC12081947	Chinese_1	39.53722296657135	116.1924718279492
Meitei	2	GRC12081967	Meitei_0	24.831496322379124	93.90026429263413
Mogaveera	1	GRC12081943	Gujarati_3	24.911479552525076	74.75057434370189
Mongols	1	GRC12076318	Altaians_3	48.836870149942236	91.12541254291641
Mongols	2	GRC12076235	Altaians_3	50.4329840457061	86.69331253007523
Mongols	3	GRC12076271	Altaians_3	49.22472004322227	89.97111741348367
Mongols	4	GRC12076283	Altaians_3	49.79153825427611	88.43680921686394
Mongols	5	GRC12076259	Altaians_3	49.49838969188943	89.2550309084997
Mongols	6	GRC12076270	Altaians_3	50.28609187051201	87.09100004191139
Mongols	7	GRC12076294	Altaians_3	49.78361760562473	88.45623756269681
Mongols	8	GRC12076295	Altaians_3	49.54391432612904	89.10358270816674
Mongols	9	GRC12076307	Altaians_3	49.62247249622775	88.8956596297929
Mongols	10	GRC12076234	Altaians_3	49.94123541455874	88.02590257427757
Mongols	11	GRC12076246	Mongols_4	44.999080206499706	111.00101353489742
Morelos_Mexico	1	GRC12084600	AYMARA_URO_0	-15.749991206516322	-69.42000735841275
Morelos_Mexico	2	GRC12084602	AYMARA_URO_0	-15.7499902385684	-69.42000817521003
Morelos_Mexico	3	GRC12084599	AYMARA_URO_0	-13.527646091566101	-71.2961574419953
Morelos_Mexico	4	GRC12084601	QUECHUA_3	[-14.84005443]	[-72.70984768]
Munda	1	GRC12081960	Binjhal_0	22.566663879941146	88.35219439365557
Nadar_Cape	1	GRC12081936	Kapu_0	16.38163421243062	78.4187317355444
Naga	1	GRC12081978	Chinese_4	[35.1043504]	[114.9269168]
Nasioi_Bougainville	1	GRC12083608	Antananarivo_Madagascar_0	-18.901476371448346	47.60235353206711
Nasioi_Bougainville	2	GRC12083609	Antananarivo_Madagascar_0	-12.790733103467781	98.79613686153948
Nasioi_Bougainville	3	GRC12083610	Antananarivo_Madagascar_0	-14.864346229742605	81.43418994036284
Nasioi_Bougainville	4	GRC12083611	Antananarivo_Madagascar_0	-12.77085783590841	98.9617862762594
Nasioi_Bougainville	5	GRC12083612	Antananarivo_Madagascar_0	-17.71687789198994	57.53863137695681
Nasioi_Bougainville	6	GRC12083613	Nasioi_Bougainville_0	[-7.55763965]	[150.25186668]
Nasioi_Bougainville	7	GRC12083614	Nasioi_Bougainville_0	[-7.56411296]	[150.2336665]
Nasioi_Bougainville	8	GRC12083615	Antananarivo_Madagascar_0	-13.920972563275132	89.3325269134812
Nasioi_Bougainville	9	GRC12083616	Bermudian_2	[19.40201603]	[6.8549376]
Nasioi_Bougainville	10	GRC12083617	Nasioi_Bougainville_0	-6.334690717200686	155.49432974214116
Nattukottai_Chettiar	1	GRC12081971	Majhbi_0	[28.24012666]	[75.09284364]
Papua_New_Guinea_coastal	1	GRC12083626	Meitei_0	24.809055244172463	93.96413460204182
Papua_New_Guinea_coastal	2	GRC12083627	Meitei_0	24.81262612475421	93.95770866028138
Papua_New_Guinea_coastal	3	GRC12083618	Bermudian_2	31.02675033307766	-57.642088598360274
Papua_New_Guinea_coastal	4	GRC12083619	Bermudian_2	31.02675033307766	-57.642088598360274
Papua_New_Guinea_coastal	5	GRC12083621	Nasioi_Bougainville_0	-6.057001835448272	155.16159616901672
Papua_New_Guinea_coastal	6	GRC12083622	Nasioi_Bougainville_0	-6.068899072552068	155.1216986823436
Papua_New_Guinea_coastal	7	GRC12083624	Bermudian_2	31.02675033307766	-57.642088598360274
Papua_New_Guinea_coastal	8	GRC12083625	Papua_New_Guinea_coastal_2	-9.280942310621386	147.08761387039712
Papua_New_Guinea_highland	1	GRC12083628	Bermudian_2	31.02675033307766	-57.642088598360274
Papua_New_Guinea_highland	2	GRC12083629	Bermudian_2	31.02675033307766	-57.642088598360274
Papua_New_Guinea_highland	3	GRC12083630	Bermudian_2	31.02675033307766	-57.642088598360274
Papua_New_Guinea_highland	4	GRC12083631	Bermudian_2	31.02675033307766	-57.642088598360274
Papua_New_Guinea_highland	5	GRC12083633	Bermudian_2	31.343993122831804	-59.415774771404585
Papua_New_Guinea_highland	6	GRC12083635	Meitei_0	16.192565055792794	108.41341104687393
